restaurant_id,category,name,description,price
1356,GROUPS,Veggie Meal for 2,"Includes two Cheese Quesadillas, two Bean Burritos, two Spicy Potato Soft Tacos, and two orders of chips and nacho cheese sauce. Set max quantities to add item to cart.",15.0 USD
1356,GROUPS,Meal for 4,"Includes two Crunchwrap Supremes®, two Chicken Quesadillas, four Soft Tacos, and two orders of chips and nacho cheese sauce. Set max quantities to add item to cart.",25.0 USD
1356,GROUPS,Taco &amp; Burrito Cravings Pack,Includes 4 Crunchy Tacos and 4 Beefy 5-layer Burritos,13.19 USD
1356,GROUPS,Taco Party Pack,"Your choice of 12 of the following tacos: Crunchy or Soft Tacos, Crunchy or Soft Taco Supremes®.",22.79 USD
1356,GROUPS,Supreme Taco Party Pack,Your choice of 12 of the following tacos: Crunchy or Soft Taco Supremes®.,26.39 USD
1356,GROUPS,Soft Taco Party Pack,Includes 12 Soft Tacos,22.79 USD
1356,GROUPS,Supreme Soft Taco Party Pack,Includes 12 Soft Tacos Supreme®.,26.39 USD
1356,GROUPS,Variety Taco Party Pack,"Your choice of 12 of the following tacos: Crunchy or Soft Taco, or Nacho Cheese Doritos® Locos Tacos.",23.99 USD
1356,GROUPS,Supreme Variety Taco Party Pack,"Your choice of 12 of the following tacos: Crunchy or Soft Taco Supremes®, or Nacho Cheese Doritos® Locos Tacos Supremes®",27.59 USD
1356,GROUPS,Drinks Party Pack,Includes four Medium fountain drinks of your choice.,4.8 USD
1356,Sauce Packets,Fire Sauce Packet,,0.0 USD
1356,Sauce Packets,Hot Sauce Packet,,0.0 USD
1356,Sauce Packets,Mild Sauce Packet,,0.0 USD
1356,Sauce Packets,Diablo Sauce Packet,,0.0 USD
1356,Specialties,Toasted Cheddar Chalupa,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with seasoned beef, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.",5.75 USD
1356,Specialties,Black Bean Toasted Cheddar Chalupa,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with black beans, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.",5.75 USD
1356,Specialties,Chalupa Supreme®,"Chewy fried chalupa bread filled with seasoned beef, sour cream, crispy lettuce, three-cheese blend and ripe tomatoes.",5.03 USD
1356,Specialties,Black Bean Chalupa Supreme®,"A chewy chalupa shell filled with black beans, reduced-fat sour cream, lettuce, tomatoes, and three-cheese blend.",4.79 USD
1356,Specialties,Crunchwrap Supreme®,"A flour tortilla layered with seasoned beef, warm nacho cheese sauce, a crispy tostada shell, crispy lettuce, ripe tomatoes and topped with cool sour cream all wrapped in our signature crunchwrap fold and grilled to go.",6.23 USD
1356,Specialties,Black Bean Crunchwrap Supreme®,"Flour tortilla, black beans, nacho cheese sauce, tostada shell, lettuce, tomatoes &amp; reduced fat sour cream layers grilled in a crunchwrap. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation method may lead to cross contact with meat",5.99 USD
